               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  39,            0.040444,            0.084477,                   0,             0.92613,             0.89025,             0.92009,             0.48095,            0.040246,             0.08529,                   0,            0.002476,            0.002476,            0.002476
                  40,            0.040429,            0.083682,                   0,             0.92548,             0.89497,             0.92037,             0.48238,            0.040156,            0.085532,                   0,            0.002278,            0.002278,            0.002278
                  41,            0.040214,              0.0834,                   0,             0.92676,             0.89176,             0.91851,             0.48347,            0.039928,            0.085112,                   0,             0.00208,             0.00208,             0.00208
                  42,             0.04017,            0.082817,                   0,             0.92643,             0.89612,             0.92158,             0.48815,            0.040079,            0.085129,                   0,            0.001882,            0.001882,            0.001882
                  43,             0.03958,            0.082746,                   0,             0.92479,             0.89545,             0.91911,             0.48111,            0.040118,            0.085442,                   0,            0.001684,            0.001684,            0.001684
                  44,            0.039893,            0.083454,                   0,             0.92509,             0.89821,             0.91982,             0.48439,            0.039914,            0.085307,                   0,            0.001486,            0.001486,            0.001486
                  45,            0.039784,            0.083056,                   0,             0.92772,             0.89546,             0.92106,             0.48532,            0.039913,            0.085676,                   0,            0.001288,            0.001288,            0.001288
                  46,            0.039795,            0.083942,                   0,              0.9268,             0.89601,             0.91982,              0.4845,            0.039958,            0.085693,                   0,             0.00109,             0.00109,             0.00109
                  47,            0.039663,            0.084217,                   0,             0.92808,             0.89531,             0.92151,             0.48792,            0.039885,            0.085548,                   0,            0.000892,            0.000892,            0.000892
                  48,            0.039721,            0.083738,                   0,             0.92676,             0.89846,             0.92213,             0.48718,            0.039868,            0.085293,                   0,            0.000694,            0.000694,            0.000694
                  49,            0.039256,            0.082742,                   0,             0.92797,             0.89893,             0.92226,             0.48673,            0.039826,              0.0853,                   0,            0.000496,            0.000496,            0.000496
