               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  22,            0.042852,            0.087425,                   0,             0.93162,             0.88157,             0.92899,             0.47792,            0.041125,            0.085265,                   0,            0.007921,            0.007921,            0.007921
                  23,            0.042692,            0.087461,                   0,             0.92953,             0.89134,             0.92923,             0.47435,            0.041473,            0.084667,                   0,            0.007822,            0.007822,            0.007822
                  24,            0.042409,            0.086119,                   0,             0.93147,             0.88464,             0.92534,              0.4797,               0.041,            0.085096,                   0,            0.007723,            0.007723,            0.007723
                  25,            0.042388,            0.086422,                   0,             0.93268,             0.88476,             0.92413,              0.4765,            0.040869,            0.084507,                   0,            0.007624,            0.007624,            0.007624
                  26,            0.042097,            0.087557,                   0,             0.93246,             0.88781,             0.92552,             0.47276,            0.041079,            0.084629,                   0,            0.007525,            0.007525,            0.007525
                  27,            0.042234,            0.087917,                   0,             0.92767,              0.8861,             0.92368,             0.47538,            0.040955,            0.085104,                   0,            0.007426,            0.007426,            0.007426
                  28,            0.041992,            0.085891,                   0,             0.93263,             0.88183,             0.92589,             0.48133,            0.040815,            0.086349,                   0,            0.007327,            0.007327,            0.007327
                  29,            0.041732,            0.086563,                   0,             0.92772,               0.891,              0.9283,             0.47781,            0.040981,            0.084968,                   0,            0.007228,            0.007228,            0.007228
                  30,            0.042207,            0.087304,                   0,              0.9332,             0.88609,             0.92967,             0.47891,            0.041141,            0.084788,                   0,            0.007129,            0.007129,            0.007129
                  31,            0.041856,            0.087397,                   0,             0.92847,             0.89134,             0.92753,             0.47774,            0.040773,            0.084416,                   0,             0.00703,             0.00703,             0.00703
                  32,            0.041998,            0.088016,                   0,             0.93258,             0.88966,             0.92785,             0.48346,            0.040559,            0.085077,                   0,            0.006931,            0.006931,            0.006931
                  33,            0.041746,            0.086692,                   0,             0.92786,             0.89346,             0.92704,             0.47641,            0.040972,            0.084711,                   0,            0.006832,            0.006832,            0.006832
                  34,            0.041693,            0.085481,                   0,             0.93052,             0.89029,             0.92723,             0.47739,            0.040949,            0.085137,                   0,            0.006733,            0.006733,            0.006733
                  35,            0.041467,            0.085329,                   0,             0.93691,             0.88705,             0.93201,             0.48661,            0.040465,            0.084605,                   0,            0.006634,            0.006634,            0.006634
                  36,            0.041222,            0.085197,                   0,             0.93116,             0.88504,             0.92444,             0.47511,            0.040775,             0.08556,                   0,            0.006535,            0.006535,            0.006535
                  37,            0.041227,             0.08551,                   0,             0.92899,             0.88995,             0.92899,             0.48535,            0.040392,            0.085838,                   0,            0.006436,            0.006436,            0.006436
                  38,            0.041383,             0.08608,                   0,             0.93325,              0.8913,             0.93007,             0.48234,            0.040627,            0.085109,                   0,            0.006337,            0.006337,            0.006337
                  39,            0.041003,            0.086045,                   0,             0.92998,             0.88714,             0.92613,              0.4796,            0.040665,            0.086596,                   0,            0.006238,            0.006238,            0.006238
                  40,            0.041116,            0.085752,                   0,             0.92995,             0.89439,             0.92938,             0.48874,            0.040258,            0.084582,                   0,            0.006139,            0.006139,            0.006139
                  41,            0.040916,            0.084619,                   0,             0.93334,             0.89327,             0.93151,             0.48785,            0.040579,            0.085366,                   0,             0.00604,             0.00604,             0.00604
