               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              0.0963,             0.10089,                   0,             0.51508,             0.49654,             0.49583,             0.16147,            0.065708,            0.095771,                   0,            0.070273,            0.003303,            0.003303
                   1,             0.07059,            0.099933,                   0,             0.52599,             0.52949,             0.48537,             0.15025,             0.07169,            0.089814,                   0,            0.040207,           0.0065707,           0.0065707
                   2,            0.065862,            0.098973,                   0,             0.40646,              0.6301,             0.40944,             0.16133,            0.063411,             0.10565,                   0,            0.010075,           0.0097723,           0.0097723
                   3,            0.059059,            0.098161,                   0,             0.68864,             0.78744,              0.7703,             0.34378,            0.050096,            0.091203,                   0,            0.009703,            0.009703,            0.009703
                   4,            0.053253,            0.095668,                   0,             0.87578,             0.77867,             0.82539,             0.34074,            0.049405,            0.090145,                   0,            0.009703,            0.009703,            0.009703
                   5,            0.050843,            0.095278,                   0,             0.89105,             0.82854,             0.86479,             0.36267,             0.04809,            0.089028,                   0,            0.009604,            0.009604,            0.009604
                   6,            0.048956,            0.094851,                   0,             0.91111,             0.84257,             0.90148,             0.43125,            0.045489,            0.086918,                   0,            0.009505,            0.009505,            0.009505
                   7,            0.047503,            0.093703,                   0,             0.91223,             0.85047,             0.90011,             0.43675,            0.043843,            0.086745,                   0,            0.009406,            0.009406,            0.009406
                   8,            0.046998,            0.093566,                   0,             0.92284,             0.85891,             0.91038,             0.44063,            0.044317,            0.086263,                   0,            0.009307,            0.009307,            0.009307
                   9,            0.046409,            0.092657,                   0,             0.92047,             0.86413,             0.90874,             0.45262,            0.042239,            0.085608,                   0,            0.009208,            0.009208,            0.009208
                  10,            0.045439,            0.090888,                   0,             0.92317,             0.86597,             0.91206,             0.44992,            0.043568,            0.085704,                   0,            0.009109,            0.009109,            0.009109
                  11,             0.04503,            0.092054,                   0,             0.92545,              0.8677,             0.91727,             0.46645,            0.041751,            0.085128,                   0,             0.00901,             0.00901,             0.00901
                  12,            0.045012,            0.090739,                   0,             0.92458,             0.86915,             0.91421,             0.45258,             0.04232,            0.085539,                   0,            0.008911,            0.008911,            0.008911
                  13,            0.044489,            0.091374,                   0,             0.92632,              0.8734,             0.91902,             0.46209,            0.041993,            0.085404,                   0,            0.008812,            0.008812,            0.008812
                  14,            0.043861,            0.090373,                   0,              0.9234,             0.87365,             0.91438,             0.46107,            0.041945,            0.085706,                   0,            0.008713,            0.008713,            0.008713
                  15,            0.044116,             0.08815,                   0,             0.92698,             0.86865,             0.91628,             0.45626,            0.042057,            0.084973,                   0,            0.008614,            0.008614,            0.008614
                  16,            0.043672,            0.088471,                   0,             0.92694,             0.87596,             0.91879,             0.46308,            0.042245,            0.085334,                   0,            0.008515,            0.008515,            0.008515
                  17,            0.043679,            0.090784,                   0,             0.92615,             0.87721,               0.926,             0.47692,            0.041026,             0.08519,                   0,            0.008416,            0.008416,            0.008416
                  18,            0.043485,            0.089478,                   0,             0.92118,             0.88423,             0.92474,             0.47127,            0.041703,            0.085096,                   0,            0.008317,            0.008317,            0.008317
                  19,            0.043453,             0.09072,                   0,             0.93302,             0.87145,             0.92185,             0.46955,             0.04181,            0.085867,                   0,            0.008218,            0.008218,            0.008218
                  20,            0.043026,            0.087604,                   0,              0.9297,             0.88529,             0.92701,             0.47642,            0.041258,            0.084902,                   0,            0.008119,            0.008119,            0.008119
                  21,            0.042659,            0.087979,                   0,              0.9288,             0.87888,             0.91988,              0.4689,            0.041478,            0.085224,                   0,             0.00802,             0.00802,             0.00802
