               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  39,             0.03875,              0.0819,                   0,             0.93423,             0.89806,              0.9306,             0.48937,            0.040122,             0.08739,                   0,            0.002476,            0.002476,            0.002476
                  40,            0.038798,            0.080388,                   0,             0.93671,             0.89773,             0.93091,               0.492,            0.040007,            0.087586,                   0,            0.002278,            0.002278,            0.002278
                  41,            0.038493,             0.08053,                   0,             0.93713,             0.90125,             0.93339,             0.49466,            0.039987,            0.087878,                   0,             0.00208,             0.00208,             0.00208
                  42,             0.03848,            0.080182,                   0,             0.93687,             0.90012,             0.93282,             0.49598,            0.040026,             0.08768,                   0,            0.001882,            0.001882,            0.001882
                  43,             0.03839,            0.080329,                   0,              0.9345,             0.89936,             0.93192,               0.494,            0.039999,            0.087434,                   0,            0.001684,            0.001684,            0.001684
                  44,            0.038586,            0.081344,                   0,             0.93549,             0.90032,             0.93344,             0.49382,            0.039987,            0.087682,                   0,            0.001486,            0.001486,            0.001486
                  45,            0.038305,            0.080415,                   0,             0.93617,             0.90007,             0.93238,             0.49461,            0.039999,            0.087515,                   0,            0.001288,            0.001288,            0.001288
                  46,            0.038363,            0.079849,                   0,             0.93592,             0.90283,             0.93316,             0.49666,            0.039869,            0.087851,                   0,             0.00109,             0.00109,             0.00109
                  47,            0.038124,            0.080298,                   0,             0.93562,             0.90092,             0.93353,              0.4979,            0.039914,            0.088295,                   0,            0.000892,            0.000892,            0.000892
                  48,            0.038091,            0.080551,                   0,             0.93523,             0.90273,             0.93363,             0.49654,            0.039859,             0.08777,                   0,            0.000694,            0.000694,            0.000694
                  49,            0.037952,            0.080809,                   0,             0.93527,             0.90259,             0.93309,             0.49635,            0.039897,            0.087655,                   0,            0.000496,            0.000496,            0.000496
